nom,total,libres,occupation_pct,heure,jour_semaine,minute
Parc Relais Brandenburg,211,0,100.0,21,2,44
Bord'Eau Village,540,432,20.0,21,2,44
Clemenceau,379,236,37.73,21,2,44
Meunier - Saint Jean,323,0,100.0,21,2,44
Bonnac,163,0,100.0,21,2,44
Bastide Niel,248,0,100.0,21,2,44
P4 Belcier -  Gare Saint Jean,600,0,100.0,21,2,44
Grand Parc,341,291,14.66,21,2,44
Parc Relais Quarante Journaux,200,197,1.5,21,2,44
Gare Parempuyre,151,0,100.0,21,2,44
Parc Relais Cantinolle,620,501,19.19,21,2,44
Parc Relais De L'Hippodrome,250,58,76.8,21,2,44
Centre Commercant Ginko,930,867,6.77,21,2,44
Parc Relais La Gardette Nord,242,242,0.0,21,2,44
Parc Relais Gare De Begles,193,193,0.0,21,2,44
Begles Les Secheries,300,294,2.0,21,2,44
Parc Relais Gare De Blanquefort,206,9,95.63,21,2,44
Victor Hugo,634,215,66.09,21,2,44
Victoire,466,205,56.01,21,2,44
Tourny,950,613,35.47,21,2,44
Front Du Medoc,70,70,0.0,21,2,44
Centre Commercial Meriadeck,1230,984,20.0,21,2,44
Huit Mai 45,399,187,53.13,21,2,44
Gambetta,438,133,69.63,21,2,44
Capucins,270,0,100.0,21,2,44
Camille Jullian,338,225,33.43,21,2,44
Republique,361,158,56.23,21,2,44
Grands Hommes,415,211,49.16,21,2,44
Bourse - Jaures,1300,1025,21.15,21,2,44
Salinieres,400,83,79.25,21,2,44
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,21,2,44
Leroy,137,0,100.0,21,2,44
Rue De Begles,63,0,100.0,21,2,44
P3 Belcier - Gare Saint Jean,767,0,100.0,21,2,44
Parc Relais Ravezies Le Bouscat,366,42,88.52,21,2,44
Liberation,137,50,63.5,21,2,44
Laharpe,80,30,62.5,21,2,44
Parc Relais Gare De Bruges ,57,58,-1.75,21,2,44
Parc Relais Floirac Dravemont,52,52,0.0,21,2,44
Floirac Arena,962,960,0.21,21,2,44
Parc Relais Le Haillan Rostand,204,127,37.75,21,2,44
Parc Relais La Gardette Sud,151,146,3.31,21,2,44
Parc Relais Lauriers,149,136,8.72,21,2,44
Parc Relais Buttiniere,600,547,8.83,21,2,44
Aeroport P0 Confort,341,0,100.0,21,2,44
Aeroport Pr Express,108,0,100.0,21,2,44
Parc Relais Arlac,393,394,-0.25,21,2,44
Parc Relais Quatre Chemins,396,250,36.87,21,2,44
Aeroport P4 Longue Duree,3427,0,100.0,21,2,44
Aeroport P2 Flexi,3377,0,100.0,21,2,44
Aeroport P1 Proxi,375,0,100.0,21,2,44
Pessac Centre,400,323,19.25,21,2,44
Parc Relais Bougnard,168,168,0.0,21,2,44
Parc Relais Unitec,218,35,83.94,21,2,44
Parc Relais Gare De Pessac Alouette,148,16,89.19,21,2,44
Parc Relais Arts Et Metiers,590,594,-0.68,21,2,44
Talence 7e Art,321,0,100.0,21,2,44
Parc Relais Cap Metiers,146,96,34.25,21,2,44
Ars - Belcier,225,174,22.67,21,2,44
Bordeaux Bastide,158,0,100.0,21,2,44
Parc Relais Les Pins,220,198,10.0,21,2,44
Parc Relais Villenave Pyrenees,399,343,14.04,21,2,44
Gare Blanquefort,151,0,100.0,21,2,44
Cite Mondiale,842,254,69.83,21,2,44
Gare Saint Jean,410,103,74.88,21,2,44
Porte De Bordeaux,344,209,39.24,21,2,44
Megarama,526,0,100.0,21,2,44
Allees De Chartres,415,263,36.63,21,2,44
Parc Relais Stalingrad,120,62,48.33,21,2,44
Parc Relais Galin,279,220,21.15,21,2,44
Bergonie,66,52,21.21,21,2,44
Beaujon,92,27,70.65,21,2,44
Paludate - Saint Jean,566,346,38.87,21,2,44
Parc Relais Les Aubiers,234,232,0.85,21,2,44
Croix De Seguey,51,0,100.0,21,2,44
Lhote,111,0,100.0,21,2,44
Alsace Lorraine,122,0,100.0,21,2,44
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,21,2,44
Les Bassins,274,142,48.18,21,2,44
Pey Berland - Saint Christoly,399,115,71.18,21,2,44
Bassins A Flots,250,227,9.2,21,2,44
Brienne,300,177,41.0,21,2,44
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,21,2,44
Merignac Centre,285,216,24.21,21,2,44
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,21,2,44
Amedee St Germain,639,345,46.01,21,2,44
"Parc Relais Caroline Aigle, Merignac",103,102,0.97,21,2,44
Parking Brazza Yespark,444,0,100.0,21,2,44
Belvedere,400,288,28.0,21,2,44
Parc Relais Lycee Sud Medoc,117,0,100.0,21,2,44
Saint Jean Armagnac,496,0,100.0,21,2,44
Amplitude,396,112,71.72,21,2,44
